"patch","date","nmin_30","nmin_60","nmin_90","doy","crop"
40,2021-12-10,34.0333333333333,11.34,5.60666666666667,344,"Fal"
39,2021-12-10,34.3766666666667,23.5533333333333,11.7333333333333,344,"Bar"
21,2021-12-10,29.33,12.9566666666667,9.6,344,"Bar"
20,2021-12-10,26.8366666666667,4.87666666666667,5.22,344,"Rap"
19,2021-12-10,41.0166666666667,46.9466666666667,12.0633333333333,344,"Fal"
13,2021-12-10,19.0966666666667,14.69,11.7833333333333,344,"CC3"
12,2021-12-10,39.99,19.1633333333333,4.63,344,"Fal"
12,2022-10-20,26.0766666666667,6.29666666666667,2.82,293,"Maiz"
13,2022-10-12,16.9266666666667,4.12,3.73666666666667,285,"Soy"
19,2022-07-25,18.63,2.76666666666667,NA,206,"Whe"
20,2022-07-25,21.6833333333333,2.24333333333333,NA,206,"Rap"
21,2022-07-08,20.7333333333333,6.14,13.06,189,"Bar"
39,2022-07-08,18.5366666666667,6.72,4.2,189,"Bar"
40,2022-10-20,50.2333333333333,7.15333333333333,NA,293,"Maiz"
49,2022-10-12,18.8333333333333,3.17333333333333,2.96666666666667,285,"Soy"
50,2022-07-25,22.3766666666667,2.65333333333333,NA,206,"Rap"
51,2022-07-20,12.5133333333333,3.92666666666667,NA,201,"Lup"
58,2022-07-25,22.0333333333333,5.28666666666667,NA,206,"Whe"
59,2022-09-13,44.9833333333333,3.40333333333333,1.18333333333333,256,"Sun"
60,2022-07-20,29.5533333333333,7.99333333333333,NA,201,"SOats"
65,2022-07-25,18.4366666666667,5.49666666666667,NA,206,"Whe"
66,2022-10-20,135.99,10.57,6.22333333333333,293,"Maiz"
68,2022-07-20,25.1733333333333,2.70666666666667,NA,201,"Rye"
73,2022-07-08,18.01,5.44666666666667,4.28333333333333,189,"Bar"
74,2022-07-25,45.68,4.66666666666667,NA,206,"Rap"
76,2022-10-20,125.106666666667,31.7566666666667,9.46666666666667,293,"Maiz"
81,2022-10-12,25.3466666666667,4.76666666666667,3.80333333333333,285,"Soy"
89,2022-09-13,36.3066666666667,2.21333333333333,0.636666666666667,256,"Sun"
90,2022-07-20,28.5166666666667,4.6,NA,201,"Rye"
95,2022-10-20,72.7166666666667,19.7766666666667,3.90333333333333,293,"Maiz"
96,2022-07-20,20.5233333333333,4.36333333333333,NA,201,"SOats"
102,2022-07-20,13.4166666666667,4.71,NA,201,"Lup"
105,2022-07-20,18.9266666666667,4.10666666666667,NA,201,"SOats"
110,2022-07-20,11.1133333333333,1.9,NA,201,"Rye"
114,2022-07-20,13.3433333333333,5.59,NA,201,"Lup"
115,2022-10-20,91.37,40.7066666666667,7.28,293,"Maiz"
119,2022-09-13,67.5266666666667,6.33333333333333,1.09333333333333,256,"Sun"
12,2022-12-09,63.7666666666667,22.4233333333333,2.78666666666667,343,"Whe"
13,2022-12-12,23.0033333333333,18.8066666666667,4.01333333333333,346,"Fal"
19,2022-12-09,14.02,5.54333333333333,3.96,343,"Rap"
20,2022-12-09,26.2333333333333,11.92,1.62,343,"Bar"
21,2022-12-12,14.94,3.12666666666667,1.86333333333333,346,"CC3"
39,2022-12-09,12.1833333333333,3.4,6.21,343,"CC3"
40,2022-12-09,56.4266666666667,30.21,2.55,343,"Whe"
49,2022-12-09,35.8133333333333,12.5033333333333,3.93,343,"Fal"
50,2022-12-09,33.3666666666667,16.54,1.57333333333333,343,"Bar"
51,2022-12-12,9.93,9.42666666666667,3.94666666666667,346,"Rye"
58,2022-12-09,15.5633333333333,15.63,23.4333333333333,343,"Rap"
59,2022-12-09,16.4766666666667,21.28,2.72,343,"Woats"
60,2022-12-12,10.5233333333333,5.08666666666667,3.11333333333333,346,"CC3"
65,2022-12-09,19.82,26.1366666666667,13.9566666666667,343,"Rap"
66,2022-12-09,67.48,25.3933333333333,24.67,343,"Whe"
68,2022-12-12,8.66,3.10333333333333,1.25,346,"CC3"
73,2022-12-09,10.78,3.39333333333333,1.85333333333333,343,"CC3"
74,2022-12-09,43.8433333333333,21.7266666666667,3.92,343,"Bar"
76,2022-12-12,64.62,99.0666666666667,5.31666666666667,346,"Fal"
81,2022-12-09,26.6,14.2066666666667,5.07,343,"Fal"
89,2022-12-09,16.92,24.9566666666667,2.59,343,"Woats"
90,2022-12-09,8.17,3.29333333333333,0.773333333333333,343,"CC3"
95,2022-12-09,80.48,44.0866666666667,13.1,343,"Fal"
96,2022-12-09,8.99,5.09333333333333,3.16333333333333,343,"CC3"
102,2022-12-09,11.71,19.1866666666667,12.4366666666667,343,"Rye"
105,2022-12-09,8.94333333333333,3.59333333333333,3.23666666666667,343,"CC3"
110,2022-12-09,9.44,5.14333333333333,1.44333333333333,343,"CC3"
114,2022-12-09,11.1033333333333,10.82,6.15666666666667,343,"Rye"
115,2022-12-09,67.2233333333333,75.41,7.25,343,"Fal"
119,2022-12-09,18.2433333333333,50.9166666666667,3.35,343,"Woats"
12,2023-02-27,26.5433333333333,10.57,30.2533333333333,58,"Whe"
13,2023-02-27,15.73,9.85666666666667,19.0433333333333,58,"Fal"
19,2023-02-27,28.57,8.15666666666667,5.32,58,"Rap"
20,2023-02-27,22.31,4.03333333333333,6.73666666666667,58,"Bar"
21,2023-02-27,16.9633333333333,2.76666666666667,2.99,58,"CC3"
39,2023-02-27,28.67,6.11,1.38,58,"CC3"
40,2023-02-27,16.4833333333333,8.28333333333333,33.0033333333333,58,"Whe"
