"patch","date","nmin_90","doy","crop","sm_30","sm_60","sm_90"
49,2023-02-27,17.9866666666667,58,"Fal",24.0686309418797,20.7573332898986,22.6136253735526
59,2023-02-27,6.27666666666667,58,"Woats",14.7654132539284,11.5543754935846,14.1934810667989
60,2023-02-27,2.62666666666667,58,"CC3",19.3104365281414,11.5417620300299,9.38703359446401
65,2023-02-24,22.2533333333333,55,"Rap",27.5498837641097,19.0649390664711,15.7105412142762
73,2023-02-24,2.42666666666667,55,"CC3",27.8907215562727,23.1550065367046,22.9537578403328
74,2023-02-24,8.73333333333333,55,"Bar",27.4668378657752,18.8638966451317,18.2604189927423
81,2023-02-24,19.4933333333333,55,"Fal",23.0361332010858,19.5891042617824,22.099493485795
89,2023-02-24,9.06666666666667,55,"Woats",16.9487803929688,14.3553664895099,17.1393976664454
90,2023-02-24,1.40333333333333,55,"CC3",15.3823066789727,11.4852459523351,8.62912088860536
95,2023-02-24,6.52,55,"Fal",15.4996536071002,10.3040046782397,9.51428206057979
96,2023-02-24,5.94666666666667,55,"CC3",15.3755111676375,9.77104402663224,11.4992069272452
102,2023-02-24,3.03333333333333,55,"Rye",18.477215886256,13.8828105663243,16.2169936619073
105,2023-02-24,5.18333333333333,55,"CC3",18.8489144516658,12.3722520110716,15.8672871197837
110,2023-02-24,2.55666666666667,55,"CC3",16.8279593112766,13.5929251631087,17.4012789430426
114,2023-02-24,3.25333333333333,55,"Rye",16.4510288324008,14.6452069275335,18.5996925199324
115,2023-02-24,16.13,55,"Fal",17.597316754412,13.2687496024539,10.6512336497211
119,2023-02-24,5.25,55,"Woats",16.9301827856959,11.2037136958801,14.4018701297289
