"patch","doy","crop","sm_30","sm_60","sm_90","band_1","band_2","band_3","band_4","band_5","band_6","band_7","band_8","Aspect_1m","DEM_1m","Slope_1m","TWI","lon","lat","cluster","NDVI","GNDVI","EVI","NDRE","MCARI","LCCI","nmin_90"
"59",59,"CC3",14.5853390055918,11.4937711150387,15.6565146337083,NA,706,NA,1121,NA,1329,NA,2439,126.46646,72.13,2.047798,6.1038136,14.1402688535202,52.4465861372316,4,0.294585987261146,0.370224719101124,0.542098066028521,NA,NA,NA,5.90666666666667
"58",59,"Whe",25.1818914006677,21.1051083411884,21.8016531490418,NA,581,NA,1021,NA,1187,NA,2316,109.97992,75.08,1.6760719,6.965665,14.1400659815903,52.4474708151722,4,0.322295175563802,0.388073119568475,0.555446226507921,NA,NA,NA,21.4833333333333
"51",59,"Fal",17.9019443606436,11.6624863753044,11.2901590181048,NA,686,NA,1060,NA,1295,NA,2241,142.12099,72.66,0.81654674,4.944166,14.1393434424512,52.4458643526286,4,0.267533936651584,0.357770372614359,0.485925621532772,NA,NA,NA,11.0266666666667
"50",59,"Rap",25.7790088301767,21.0483708348011,20.4760419737115,NA,557,NA,882,NA,881,NA,3071,140.4368,75.26,2.1358428,4.898529,14.1391503869496,52.4467583166469,2,0.55414979757085,0.553756640526183,1.30965195550771,NA,NA,NA,1.62666666666667
"49",59,"CC3",26.155391547598,20.1046755510186,22.443158955273,NA,553,NA,864,NA,974,NA,2254,0,77.08,1.4321835,4.7876196,14.1387913590246,52.4473816685676,2,0.396530359355638,0.445798588838999,0.809819056054663,NA,NA,NA,7.24
"40",59,"Fal",21.4044934814334,20.0530264389236,20.5770386146851,NA,567,NA,891,NA,1091,NA,2169,173.67473,74.38,0.64869124,10.542628,14.1380916274437,52.4466804094467,2,0.330674846625767,0.417647058823529,0.603786266382883,NA,NA,NA,19.04
"39",59,"Bar",28.1262713236518,24.7637401975969,25.1262303941264,NA,374,NA,852,NA,574,NA,3683,256.4272,76.14,2.1354916,7.777892,14.1379889453182,52.4473215672708,2,0.730326521024195,0.62425578831312,1.79794124450613,NA,NA,NA,5.15333333333333
"21",59,"Bar",26.3354421674744,21.5252808085026,23.642429036546,NA,408,NA,794,NA,582,NA,4098,186.63504,77.64,3.0973403,4.3031917,14.1361661431791,52.4456346956956,5,0.751282051282051,0.675388389206868,1.93996910174354,NA,NA,NA,5.48
"20",59,"Rap",25.8725136673641,20.4625322766513,23.4617215848475,NA,543,NA,824,NA,872,NA,2820,91.84943,79.5,2.2202392,7.0344896,14.13579069427,52.4462646980126,5,0.52762730227519,0.54774972557629,1.22346438889587,NA,NA,NA,4.02666666666667
"19",59,"Whe",27.1914329536936,22.1348004461134,23.8201466829734,NA,619,NA,940,NA,1102,NA,2287,60.945396,78.88,2.2109225,6.087723,14.1356152463121,52.4471455920046,5,0.349660666863382,0.41741555624419,0.695830886670581,NA,NA,NA,25.2633333333333
